source_page,catalogue_ref,section,year,remarks,price_f,price_vf,price_xf,price_unc,rarity,mint,metal,weight,size,shape,issue_price,market_value,denomination,mintage
,UK-£2-2016-SHT,ELIZABETH II - TWO POUNDS,2016,Shakespeare Tragedies,,,,,C,Royal Mint,,,,,,,2 Pounds,4615000
,UK-£2-2016-GFL,ELIZABETH II - TWO POUNDS,2016,Great Fire of London,,,,,C,Royal Mint,,,,,,,2 Pounds,1625000
,UK-£2-2016-BRI,ELIZABETH II - TWO POUNDS,2016,Britannia,,,,,C,Royal Mint,,,,,,,2 Pounds,2925000
,UK-£2-2015-TECH4,ELIZABETH II - TWO POUNDS,2015,Technology - 4th Portrait,,,,,C,Royal Mint,,,,,,,2 Pounds,35360058
,UK-£2-2015-MC,ELIZABETH II - TWO POUNDS,2015,Magna Carta - 5th Portrait,,,,,C,Royal Mint,,,,,,,2 Pounds,1495000
,UK-£2-2015-FWWN,ELIZABETH II - TWO POUNDS,2015,FWW Navy - 5th Portrait,,,,,S,Royal Mint,,,,,,,2 Pounds,650000
,UK-£2-2015-BRI5,ELIZABETH II - TWO POUNDS,2015,Britannia - 5th Portrait,,,,,S,Royal Mint,,,,,,,2 Pounds,650000
,UK-£2-2014-TECH,ELIZABETH II - TWO POUNDS,2014,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,18200000
,UK-£2-2014-FWWO,ELIZABETH II - TWO POUNDS,2014,FWW Outbreak,,,,,C,Royal Mint,,,,,,,2 Pounds,5720000
,UK-£2-2014-TH,ELIZABETH II - TWO POUNDS,2014,Trinity House,,,,,C,Royal Mint,,,,,,,2 Pounds,3705000
,UK-£2-2013-TECH,ELIZABETH II - TWO POUNDS,2013,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,15860250
,UK-£2-2013-LUT,ELIZABETH II - TWO POUNDS,2013,London Underground - The Train,,,,,C,Royal Mint,,,,,,,2 Pounds,1690000
,UK-£2-2013-LUR,ELIZABETH II - TWO POUNDS,2013,London Underground - The Roundel,,,,,C,Royal Mint,,,,,,,2 Pounds,1560000
,UK-£2-2013-AOG,ELIZABETH II - TWO POUNDS,2013,Anniversary of the Guinea,,,,,C,Royal Mint,,,,,,,2 Pounds,2990000
,UK-£2-2012-TECH,ELIZABETH II - TWO POUNDS,2012,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,3900000
,UK-£2-2012-OGH,ELIZABETH II - TWO POUNDS,2012,Olympic Games Handover,,,,,C,Royal Mint,,,,,,,2 Pounds,845000
,UK-£2-2012-CD,ELIZABETH II - TWO POUNDS,2012,Charles Dickens,,,,,C,Royal Mint,,,,,,,2 Pounds,8190000
,UK-£2-2011-TECH,ELIZABETH II - TWO POUNDS,2011,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,24375030
,UK-£2-2011-KJB,ELIZABETH II - TWO POUNDS,2011,King James Bible,,,,,C,Royal Mint,,,,,,,2 Pounds,975000
,UK-£2-2011-MR,ELIZABETH II - TWO POUNDS,2011,Mary Rose,,,,,C,Royal Mint,,,,,,,2 Pounds,1040000
,UK-£2-2010-TECH,ELIZABETH II - TWO POUNDS,2010,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,6890000
,UK-£2-2010-FN,ELIZABETH II - TWO POUNDS,2010,Florence Nightingale,,,,,C,Royal Mint,,,,,,,2 Pounds,6175000
,UK-£2-2009-TECH,ELIZABETH II - TWO POUNDS,2009,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,8775000
,UK-£2-2009-DAR,ELIZABETH II - TWO POUNDS,2009,Darwin,,,,,C,Royal Mint,,,,,,,2 Pounds,3903000
,UK-£2-2009-BUR,ELIZABETH II - TWO POUNDS,2009,Burns,,,,,C,Royal Mint,,,,,,,2 Pounds,3253000
,UK-£2-2008-TECH,ELIZABETH II - TWO POUNDS,2008,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,30107000
,UK-£2-2008-1908OG,ELIZABETH II - TWO POUNDS,2008,1908 Olympic Games,,,,,C,Royal Mint,,,,,,,2 Pounds,910000
,UK-£2-2008-OGH,ELIZABETH II - TWO POUNDS,2008,Olympic Games Handover,,,,,C,Royal Mint,,,,,,,2 Pounds,918000
,UK-£2-2007-TECH,ELIZABETH II - TWO POUNDS,2007,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,10270000
,UK-£2-2007-AOU,ELIZABETH II - TWO POUNDS,2007,Act of Union,,,,,C,Royal Mint,,,,,,,2 Pounds,7545000
,UK-£2-2007-ST,ELIZABETH II - TWO POUNDS,2007,Slave Trade,,,,,C,Royal Mint,,,,,,,2 Pounds,8445000
,UK-£2-2006-TECH,ELIZABETH II - TWO POUNDS,2006,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,16715000
,UK-£2-2006-BRU-P,ELIZABETH II - TWO POUNDS,2006,Brunel - portrait,,,,,C,Royal Mint,,,,,,,2 Pounds,7928250
,UK-£2-2006-BRU-A,ELIZABETH II - TWO POUNDS,2006,Brunel - achievements,,,,,C,Royal Mint,,,,,,,2 Pounds,7452250
,UK-£2-2005-TECH,ELIZABETH II - TWO POUNDS,2005,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,3837250
,UK-£2-2005-WWII,ELIZABETH II - TWO POUNDS,2005,World War II,,,,,C,Royal Mint,,,,,,,2 Pounds,10191000
,UK-£2-2005-GP,ELIZABETH II - TWO POUNDS,2005,Gunpowder Plot,,,,,C,Royal Mint,,,,,,,2 Pounds,5140500
,UK-£2-2004-TECH,ELIZABETH II - TWO POUNDS,2004,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,11981500
,UK-£2-2004-TRE,ELIZABETH II - TWO POUNDS,2004,Trevithick,,,,,C,Royal Mint,,,,,,,2 Pounds,5004500
,UK-£2-2003-TECH,ELIZABETH II - TWO POUNDS,2003,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,17531250
,UK-£2-2003-DNA,ELIZABETH II - TWO POUNDS,2003,DNA,,,,,C,Royal Mint,,,,,,,2 Pounds,4299000
,UK-£2-2002-TECH,ELIZABETH II - TWO POUNDS,2002,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,13024750
,UK-£2-2002-CGS,ELIZABETH II - TWO POUNDS,2002,Commonwealth Games - Scotland,,,,,S,Royal Mint,,,,,,,2 Pounds,771750
,UK-£2-2002-CGW,ELIZABETH II - TWO POUNDS,2002,Commonwealth Games - Wales,,,,,S,Royal Mint,,,,,,,2 Pounds,588500
,UK-£2-2002-CGI,ELIZABETH II - TWO POUNDS,2002,Commonwealth Games - Ireland,,,,,S,Royal Mint,,,,,,,2 Pounds,485500
,UK-£2-2002-CGE,ELIZABETH II - TWO POUNDS,2002,Commonwealth Games - England,,,,,S,Royal Mint,,,,,,,2 Pounds,650500
,UK-£2-2001-TECH,ELIZABETH II - TWO POUNDS,2001,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,34984750
,UK-£2-2001-MAR,ELIZABETH II - TWO POUNDS,2001,Marconi,,,,,C,Royal Mint,,,,,,,2 Pounds,4558000
,UK-£2-2000-TECH,ELIZABETH II - TWO POUNDS,2000,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,25770000
,UK-£2-1999-TECH,ELIZABETH II - TWO POUNDS,1999,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,33719000
,UK-£2-1999-RWC,ELIZABETH II - TWO POUNDS,1999,Rugby World Cup,,,,,C,Royal Mint,,,,,,,2 Pounds,4933000
,UK-£2-1998-TECH,ELIZABETH II - TWO POUNDS,1998,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,91110375
,UK-£2-1997-TECH,ELIZABETH II - TWO POUNDS,1997,Technology,,,,,C,Royal Mint,,,,,,,2 Pounds,13734625
